2018-09-02 16:52:16,263 - __main__ - INFO - 2018-09-02 16:52:16.262000,正式开始爬取数据
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.266000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.266000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.266000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.267000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.266000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.266000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.266000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.267000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.267000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.266000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.266000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,266 - __main__ - INFO - 2018-09-02 16:52:16.267000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,303 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,303 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,308 - __main__ - INFO - 2018-09-02 16:52:16.308000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
2018-09-02 16:52:16,302 - __main__ - INFO - 2018-09-02 16:52:16.302000,开始爬取数据 start:1990-01-05,end:2018-08-26
